"Story","Title","Result","Date","Stability","Duration (s)"
"Create product data driven test","Data Driven Test for adding multiple products to the application","SUCCESS","2023-06-05T21:20:22.266+01:00[Europe/London]","0.0","425.47"
"Create store data driven test","Data Driven Test for adding multiple students to the application","SUCCESS","2023-06-05T21:20:42.039+01:00[Europe/London]","0.0","207.36"
"Products CRUD test","Creating a new PRODUCT","SUCCESS","2023-06-05T21:20:43.245+01:00[Europe/London]","0.0","1.24"
"Products CRUD test","Verify that product is added or not","SUCCESS","2023-06-05T21:20:44.481+01:00[Europe/London]","0.0","0.27"
"Products CRUD test","Updating product information","SUCCESS","2023-06-05T21:20:44.754+01:00[Europe/London]","0.0","0.37"
"Products CRUD test","Delete product and verifying that product is deleted","SUCCESS","2023-06-05T21:20:45.124+01:00[Europe/London]","0.0","0.16"
"Stores CURD test","Creating a store","SUCCESS","2023-06-05T21:20:45.511+01:00[Europe/London]","0.0","0.22"
"Stores CURD test","Verify that store is added or not","SUCCESS","2023-06-05T21:20:45.728+01:00[Europe/London]","0.0","0.05"
"Stores CURD test","Updating store information","SUCCESS","2023-06-05T21:20:45.775+01:00[Europe/London]","0.0","0.15"
"Stores CURD test","Deleting store and verifying that store is deleted","SUCCESS","2023-06-05T21:20:45.927+01:00[Europe/London]","0.0","0.14"
